aalib1 1.4p5-22
abiword-common 2.0.10-1.2
abiword-gnome 2.0.10-1.2
acpid 1.0.3-20
adduser 3.59
airstrike 0.99+1.0pre6a-
alsa-base 1.0.5a-3
alsa-oss 1.0.5-1
alsa-utils 1.0.5-3
amsn 0.93-1
amule 2.0.0rc3-1
apt 0.5.27
apt-howto-comm 1.8.6-3
apt-howto-es 1.8.6-3
apt-utils 0.5.27
aptitude 0.2.15.2-1
armagetron 0.2.5.2-3.1
armagetron-com 0.2.5.2-3.1
aspell 0.50.5-3
aspell-bin 0.50.5-3
aspell-en 0.51-1-1
aspell-es 0.50-2-2
at-spi 1.4.2-2
audacity 1.2.1-4
avifile-win32- 0.7.38.2003071
ayuda 0.1-4
base-files 3.1
base-passwd 3.5.7
bash 2.05b-15
bc 1.06-15
bcm4400-module 3.0.7-3
bcm5700-module 7.1.22-1
bind9-host 9.2.3+9.2.4-rc
binutils 2.14.90.0.7-8
blender 2.34-1
blt 2.4z-3
bluefish 0.13-1
bonobo 1.0.22-2.2
bonobo-activat 2.4.0-4
brltty 3.4.1-3
bsdmainutils 6.0.15
bsdutils 2.12-7
bug-buddy 2.6.1-3
bwidget 1.7.0-1
bzip2 1.0.2-1
cabextract 1.0-1
calctool 4.3.51-4
camorama 0.17-2
capplets 2.6.1-12
capplets-data 2.6.1-12
cd-discid 0.9-1
cdda2wav 2.0+a34-2
cddb 2.6-17
cdparanoia 3a9.8-11
cdrdao 1.1.9-3
cdrecord 2.0+a34-2
console-common 0.7.46
console-data 2002.12.04dbs-
console-tools 0.2.3dbs-54
coreutils 5.2.1-2
cpio 2.5-1.1
cpp 3.3.4-2
cpp-3.3 3.3.4-6sarge1.
crack-attack 1.1.10-1
cramfsprogs 1.1-6
cron 3.0pl1-86
cupsomatic-ppd 20040506-1
cupsys 1.1.20final+rc
cupsys-bsd 1.1.20final+rc
cupsys-client 1.1.20final+rc
cupsys-driver- 4.2.7-2
cupsys-driver- 4.2.7-2
d4x 2.5.0rel-1
dash 0.5.1-3
dbus-1 0.22-1.0.1
dbus-glib-1 0.22-1.0.1
debconf 1.4.30.5
debconf-i18n 1.4.30.5
debianutils 2.8.4
debrecipes-es 20030403-1
debtags 0.99.2
defoma 0.11.8-0.1
desktop-base 0.3.14
dhcp3-client 3.0.1-1
dhcp3-common 3.0.1-1
dia 0.93-5
dia-common 0.93-5
dia-gnome 0.93-5
dia-libs 0.93-5
dialog 1.0-20040731-1
dict 1.9.14-2
dictionaries-c 0.22.40sarge2
diff 2.8.4-0.0
dnsutils 9.2.3+9.2.4-rc
doc-debian-es 2.4
doc-es-misc 2.0.2-1
doc-linux-es 2003.04-2
docbook 4.3-1
docbook-dsssl 1.78-4
docbook-xml 4.3-1
docbook-xsl 1.64.1.0-4.2
docker 1.4-2
dosfstools 2.10-1
dpkg 1.10.23
dselect 1.10.23
dvd+rw-tools 5.21.4.10.8-1
e2fslibs 1.35-6
e2fsprogs 1.35-6
ed 0.2-20
effectv 0.3.9-1
eject 2.0.13deb-7
epiphany-brows 1.2.6-1
esound 0.2.29-1
esound-common 0.2.32-0
etherwake 1.08-1
euro-support 1.30
euro-support-x 1.30
evolution 1.4.6-5
evolution-data 0.0.92-1
fb-music-high 0.1.1
fbmngplay 0.5a-1
fbtruetype 0.2-1
fdutils 5.4-20040228-1
festival 1.4.3-15
festlex-oald 1.4.0-3
festlex-poslex 1.4.0-5
festvox-don 1.4.0-4
festvox-ellpc1 1.4.0-3
file 4.09-1
file-roller 2.6.2-2
fileutils 5.2.1-2
findutils 4.1.20-4
finger 0.17-7
firestarter 0.9.3-5
fluxbox 0.9.9-1
fontconfig 2.2.3-1
fonty 1.0-18
foobillard 3.0a-2
foomatic-db 20040705-1
foomatic-db-en 3.0.1-20040506
foomatic-db-gi 4.2.7-2
foomatic-db-hp 1.5-20040621-1
foomatic-filte 3.0.2-1
foomatic-filte 20040506-1
foomatic-gui 0.6.7
fortune-mod 1.99.1-1
fortunes-guada 1.0-2
freeglut3 2.2.0-8
frozen-bubble 1.0.0-6
frozen-bubble- 1.0.0-6
ftp 0.17-12
fuenteslinex 1.0-1
g++ 3.3.4-2
g++-3.3 3.3.4-6sarge1.
gaim 0.82.1-1
gawk 3.1.4-1
gcalctool 4.3.51-4
gcc 3.3.4-2
gcc-3.3 3.3.4-6sarge1.
gcc-3.3-base 3.3.4-6sarge1.
gconf 1.0.9-6
gconf-editor 2.6.2-1
gconf2 2.6.4-2
gdb 6.1-3
gdesklets 0.26.2-6
gdesklets-data 0.30.0.17
gdk-imlib1 1.9.14-16
gdm 2.4.4.7-3
gdm-themes 0.3.1
gedit 2.6.2-1
gedit-common 2.6.2-1
gettext 0.14.1-5
gettext-base 0.14.1-5
gftp 2.0.17-5
gftp-common 2.0.17-5
gftp-gtk 2.0.17-5
gftp-text 2.0.17-5
gimp 2.0.4-1
gimp-data 2.0.4-1
gkdial 1.8.0-1
gkdial-gnome 1.8.0-1
gksu 1.2.1-1
glutg3 3.7-25
gmax 1.0-2
gnome-about 2.6.1-2
gnome-accessib 2.6.3-1
gnome-applets 2.6.2-1
gnome-applets- 2.6.2-1
gnome-audio 2.0.0-2
gnome-bin 1.4.2-19
gnome-bluetoot 0.5.1-1
gnome-control- 2.6.1-12
gnome-cups-man 0.18-2
gnome-desktop- 2.6.1-2
gnome-doc-tool 1.0-6.1
gnome-extra-ic 1.0-1
gnome-games 2.6.2-3
gnome-games-da 2.6.2-3
gnome-gv 2.6.2-3
gnome-icon-the 1.2.3-1
gnome-keyring 0.2.1-3
gnome-libs-dat 1.4.2-19
gnome-mag 0.11.2-1
gnome-media 2.6.2-1
gnome-mime-dat 2.4.1-2
gnome-network 1.99.5-2
gnome-panel 2.6.2-3
gnome-panel-da 2.6.2-3
gnome-phone-ma 0.4-1
gnome-ppp 0.3.14-1
gnome-session 2.6.2-5
gnome-system-m 2.6.0-5
gnome-system-t 0.90.0-3
gnome-terminal 2.6.1-6
gnome-themes 2.6.3-1
gnome-themes-c 2.4.1-2
gnome-themes-e 0.7.debian.1-2
gnome-utils 2.6.2-1
gnome-vfs-extf 1.0.5-5
gnome-vfs-extr 0.2.0-4
gnome-volume-m 0.9.9-2
gnome2-user-gu 2.6.0.1-1
gnomemeeting 1.0.2-1
gnopernicus 0.9.14-1
gnumeric 1.2.13-4
gnumeric-commo 1.2.13-4
gnupg 1.2.4-4
gnupg-doc 2003.04.06-2
goff 1.0-2
gok 0.11.3-2
gpart 0.1h-4
gpgp 0.4-12
gphoto2 2.1.4-3
gpppkill 1.0.3-4
gqview 1.4.3-3
grep 2.5.1.ds1-3
grip 3.2.0-2
groff-base 1.18.1.1-1
grub 0.95+cvs200406
gs 8.01-5
gs-common 0.3.6
gs-esp 7.07.1-9
gs-gpl 8.01-5
gsfonts 8.14+urwcyr1.0
gsfonts-other 6.0-3
gsfonts-x11 0.17
gsm-utils 1.10-5
gstreamer-alsa 0.6.4-5
gstreamer-gcon 0.6.4-5
gstreamer-gnom 0.6.4-5
gstreamer-mad 0.6.4-5
gstreamer-misc 0.6.4-5
gstreamer-oss 0.6.4-5
gstreamer-plug 0.6.4-5
gstreamer-vorb 0.6.4-5
gstreamer0.8-f 0.8.2-3
gstreamer0.8-g 0.8.2-3
gstreamer0.8-m 0.8.2-3
gstreamer0.8-m 0.8.2-3
gstreamer0.8-o 0.8.2-3
gstreamer0.8-v 0.8.2-3
gthumb 2.4.2-1
gtk-engines-ge 0.26-2
gtk-engines-pi 0.12-8
gtk-engines-ra 0.12-8
gtk-engines-th 0.26-2
gtk-theme-swit 2.0.1
gtk2-engines-c 2.6.3-1
gtk2-engines-h 2.6.3-1
gtk2-engines-i 0.2.36.2
gtk2-engines-l 2.6.3-1
gtk2-engines-p 2.2.0-3
gtk2-engines-r 2.2.0-3
gtk2-engines-s 0.5.8-1
gtk2-engines-s 0.7-8
gtk2-engines-t 2.6.3-1
gtkam 0.1.11-2
gtkhtml3.0 3.0.10-1
guadalinex-bon 1.2-2
guadalinex-fsc 1.0-1
